Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
MU,WBD,0.0998756176147578,-4.23968887418938,-3.457664132155201,6.841109924958729
GS,STT,0.11751726572915276,-4.231715442948222,-3.4573260719088132,5.053573797081895
TEL,WYNN,0.48354706050709995,-4.170246792665368,-3.457215237265747,7.426201896972195
EME,NVDA,0.2721162297163739,-4.1585047571629925,-3.457105309726321,5.29012442148424
HST,USB,2.8131389939414713,-4.148273909156236,-3.4568881317725864,5.025926902890553
PAYX,VRSK,2.357152427336181,-4.087778683809342,-3.4568881317725864,5.413173567245364
DHI,PHM,0.6877227734502357,-4.07902697154585,-3.4568881317725864,5.681312025103616
APH,F,0.052387673305266204,-4.0608022966424135,-3.457437824930831,4.105970900637347
BK,IDXX,8.136254604615283,-4.016898169744356,-3.4568881317725864,5.452241693184185
FSLR,GOOGL,1.079874826163701,-4.0128826218074565,-3.4568881317725864,5.616859931633726
MS,PH,4.16065855710732,-4.008883650356072,-3.4568881317725864,5.631273094159218
EME,HOOD,0.32494034687155565,-3.9831850144132437,-3.4568881317725864,6.233823554316543
AXP,BAC,0.13934683935844433,-3.9420292145942124,-3.4568881317725864,5.906680984817731
JPM,STT,0.4391973372800844,-3.9395107565875493,-3.4568881317725864,6.809860299906841
FSLR,GOOG,1.0704268370481518,-3.9367225790279403,-3.4568881317725864,5.815852398883895
LRCX,WDC,1.3456591523418122,-3.933778554311777,-3.4568881317725864,6.010650544408938
CHRW,GOOGL,2.1031592463701405,-3.9326445770670904,-3.4568881317725864,5.89778429443152
CHRW,GOOG,2.087100855846539,-3.9136696650898957,-3.4568881317725864,5.948081204151449
BK,RTX,1.5393854483697775,-3.907173523079344,-3.457105309726321,6.3344398374736635
DUK,WEC,0.9273007316033387,-3.8994592724386914,-3.4568881317725864,6.260562886600539
AXP,WFC,0.1972066008117807,-3.8974514642719624,-3.4568881317725864,6.5603741454907905
KLAC,RTX,0.10023880853684337,-3.8835278473561616,-3.4568881317725864,6.063304772178131
RTX,TEL,1.7590189694930511,-3.8809539260672112,-3.457105309726321,7.795287480265342
EL,STT,0.8613900831523256,-3.880051372793023,-3.4568881317725864,5.958578479336651
RL,ROK,1.0171448020321057,-3.8645878283467954,-3.4568881317725864,6.1492585380325435
F,HII,32.333212327218554,-3.844868701076128,-3.457437824930831,4.257247461351387
CIEN,WBD,0.11310280329808257,-3.8319839481733053,-3.4568881317725864,6.147115205884239
BEN,NDAQ,3.0357593867529857,-3.8253161165200855,-3.4568881317725864,5.813774563193988
HOOD,LHX,0.9285044016785581,-3.8177821152305005,-3.4568881317725864,5.752719177708517
ACN,LULU,1.7524578649853022,-3.8097913439372517,-3.4568881317725864,6.386303178602177
HWM,NRG,0.9236419417502507,-3.8054610003144935,-3.4568881317725864,5.952513732365644
GE,PLTR,0.84865508695463,-3.800159217191342,-3.4568881317725864,6.170967643250171
CHRW,CMI,2.6731429286974344,-3.798120074452821,-3.4568881317725864,6.2458727648485315
GS,WFC,0.06268349373095358,-3.7939430213105156,-3.4569962781990573,7.11258306362674
MS,WFC,0.34682914908680074,-3.7861466928797816,-3.4568881317725864,6.429088573491157
HOOD,NVDA,0.7878509899322367,-3.7774351766562875,-3.4568881317725864,6.931683982608192
PH,RL,0.5033871593020834,-3.7759987337810386,-3.4568881317725864,6.289563174195175
IDXX,TEL,0.32965841573565124,-3.7694971484308892,-3.457215237265747,6.029846746525655
GE,HOOD,0.7717943915560497,-3.7687358865027547,-3.457437824930831,7.718979141009555
MS,RL,2.162338224474388,-3.747648033911382,-3.4568881317725864,6.508115738151458
CAT,KLAC,2.0208739827602757,-3.7316428634651255,-3.4568881317725864,7.718522331915983
GE,LHX,0.7456902744911126,-3.715679499017208,-3.4568881317725864,6.902977851742137
AXP,MS,0.5573475738007906,-3.7023407092236402,-3.4568881317725864,6.926711138402278
STT,WFC,0.5254017706348427,-3.700217218802001,-3.4569962781990573,7.977237210336226
RL,STT,0.27761409747421667,-3.6968316027029,-3.4568881317725864,6.776310235520698
JPM,NSC,0.8534070304847832,-3.692297001598314,-3.4568881317725864,6.5348637064374016
RTX,STX,3.305786005862281,-3.6690022417658286,-3.4568881317725864,7.078314456235343
COR,MCK,2.174993531943561,-3.6655538464604005,-3.4568881317725864,6.626246368041295
C,RL,2.9117807093923145,-3.630180068118004,-3.457215237265747,9.665339684404922
MPWR,TEL,0.23420974183074078,-3.625882899039284,-3.457105309726321,6.543830349175681
EMR,TRMB,0.5641248462105268,-3.613176221271191,-3.457105309726321,6.037519421286379
