Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
CVNA,JCI,0.17028149555866898,-4.238563456973543,-3.4436298692815304,11.66249118244664
HLT,SYF,0.44786921954865455,-4.22657636143378,-3.443470002903981,10.199648761160608
FOXA,TKO,3.045194819151594,-4.221079445987976,-3.4435228622952065,12.158409256636373
GEV,JPM,0.2395777222633781,-4.207693449115065,-3.445231637930579,8.890842900994919
PLTR,TTWO,0.6260749101200785,-4.175405511426521,-3.4437386290417082,10.190138151367712
AXP,MS,0.54852257194254,-4.173388162666709,-3.443470002903981,12.179691492028518
COF,HLT,0.7873976162238493,-4.158790311986716,-3.443470002903981,11.396190375285013
DGX,DUK,0.542087042262152,-4.1410291740383265,-3.443470002903981,10.940166333733881
AVGO,HOOD,0.5040270020913901,-4.139306733441468,-3.443470002903981,10.50476868923036
L,RTX,2.6765581884245475,-4.130662420598427,-3.443470002903981,10.471978908386218
HWM,PLTR,1.2308253170238481,-4.106283298909732,-3.4436298692815304,13.77265232231731
NI,PPL,0.6251402833360296,-4.09444543100196,-3.443470002903981,10.490604822725144
RJF,UAL,1.1121121299801051,-4.089663062865456,-3.443470002903981,9.824312115504677
APP,COF,0.1649088356389247,-4.08653806513046,-3.443470002903981,10.736952876033612
JPM,TKO,0.7922606191920458,-4.056775468926577,-3.4435494520411605,9.682468297326775
COF,CSCO,0.27637891361159855,-4.052850453017954,-3.443496379464,12.586127983402493
MMM,NI,0.21516864565029684,-4.04318314203201,-3.443470002903981,10.94270466702342
FOX,TKO,3.4155726197205496,-4.038972931895449,-3.4435228622952065,13.290562187251584
COF,WFC,0.3550829931795744,-4.022524696407834,-3.443470002903981,11.489276334782515
PH,STT,0.15589568541211457,-4.01945317013966,-3.443496379464,10.906734187079582
COF,JPM,1.3123796319508239,-4.016690926810612,-3.443470002903981,11.360328647464637
APP,WFC,0.05976399914846386,-4.004129651994543,-3.443470002903981,11.540934699833754
DTE,DUK,0.8651369358354657,-4.001200624190405,-3.443496379464,13.903468858887406
HWM,JCI,0.4033633924339162,-3.9615524699964078,-3.4435228622952065,9.0906366830337
AXON,NFLX,0.12733782438741298,-3.960742843481364,-3.443470002903981,11.599094900458157
BK,L,0.478837039005203,-3.9563503813342153,-3.443470002903981,11.285643290216232
DTE,MO,0.6711540950100219,-3.9503624414866847,-3.443470002903981,11.535599812726133
FFIV,LYV,0.4628561986110202,-3.924598192427249,-3.4437112724287253,10.82243060320881
COF,GEV,4.977280808930024,-3.923550429959359,-3.445231637930579,10.362161142682401
EBAY,GE,3.6428680925572765,-3.912459898348887,-3.443470002903981,11.3492400510512
DGX,LNT,0.337125491433477,-3.9089463831558864,-3.443470002903981,11.599221321434811
CSCO,IBM,4.328380264432732,-3.8959722625945634,-3.4437936797256317,14.6608464008938
MMM,PPL,0.13477666724909043,-3.86818834717862,-3.443470002903981,11.849429345356386
ATO,DGX,0.9045770755876252,-3.8666370157313628,-3.443496379464,9.229071419365859
AEE,WMB,0.7357191972668056,-3.8537752953111233,-3.443470002903981,12.634406938220232
BK,TKO,1.8771163767404138,-3.847848350184537,-3.4435494520411605,13.052913278811502
PLTR,TPR,0.45706164328955906,-3.837984922619661,-3.4436568932270095,11.755508136782034
AVGO,RL,0.7610693779463279,-3.836452198485377,-3.4435761493506294,11.524269753080231
JCI,JPM,2.3200265913585865,-3.8359729613100346,-3.443470002903981,12.24591811619266
DASH,LYV,0.45508753425834053,-3.834261857948311,-3.443470002903981,12.09601137846169
APP,JPM,0.22249545190969797,-3.826793004739627,-3.443470002903981,12.62502157755625
CVNA,JPM,0.40803442938158835,-3.8209398172362214,-3.4436029548776395,8.907183776325935
GE,NRG,0.6416491648484779,-3.8162651667443184,-3.443470002903981,11.809339109208429
CINF,LNT,0.3725196668061415,-3.810969951991543,-3.443470002903981,12.620028139296778
